Year,Month,Month_Number,Surgery,Patients
2021,May,5, Aortic valve replacement ,0.0
2021,June,6, Aortic valve replacement ,0.0
2021,July,7, Aortic valve replacement ,0.0
2021,August,8, Aortic valve replacement ,0.0
2021,September,9, Aortic valve replacement ,0.0
2021,October,10, Aortic valve replacement ,0.0
2021,November,11, Aortic valve replacement ,0.0
2021,December,12, Aortic valve replacement ,0.0
2022,January,1, Aortic valve replacement ,9575.0
2022,February,2, Aortic valve replacement ,0.0
2022,March,3, Aortic valve replacement ,0.0
2022,April,4, Aortic valve replacement ,0.0
2022,May,5, Aortic valve replacement ,0.0
2022,June,6, Aortic valve replacement ,0.0
2022,July,7, Aortic valve replacement ,0.0
2022,August,8, Aortic valve replacement ,0.0
2022,September,9, Aortic valve replacement ,0.0
2022,October,10, Aortic valve replacement ,0.0
2022,November,11, Aortic valve replacement ,0.0
2022,December,12, Aortic valve replacement ,0.0
2006,January,1, Graft replacement of Aorta ,280.0
2006,February,2, Graft replacement of Aorta ,0.0
2006,March,3, Graft replacement of Aorta ,0.0
2006,April,4, Graft replacement of Aorta ,0.0
2006,May,5, Graft replacement of Aorta ,0.0
2006,June,6, Graft replacement of Aorta ,0.0
2006,July,7, Graft replacement of Aorta ,0.0
2006,August,8, Graft replacement of Aorta ,0.0
2006,September,9, Graft replacement of Aorta ,0.0
2006,October,10, Graft replacement of Aorta ,0.0
2006,November,11, Graft replacement of Aorta ,0.0
2006,December,12, Graft replacement of Aorta ,0.0
2007,January,1, Graft replacement of Aorta ,330.0
2007,February,2, Graft replacement of Aorta ,0.0
2007,March,3, Graft replacement of Aorta ,0.0
2007,April,4, Graft replacement of Aorta ,0.0
2007,May,5, Graft replacement of Aorta ,0.0
2007,June,6, Graft replacement of Aorta ,0.0
2007,July,7, Graft replacement of Aorta ,0.0
2007,August,8, Graft replacement of Aorta ,0.0
2007,September,9, Graft replacement of Aorta ,0.0
2007,October,10, Graft replacement of Aorta ,0.0
2007,November,11, Graft replacement of Aorta ,0.0
2007,December,12, Graft replacement of Aorta ,0.0
2008,January,1, Graft replacement of Aorta ,342.0
2008,February,2, Graft replacement of Aorta ,0.0
2008,March,3, Graft replacement of Aorta ,0.0
2008,April,4, Graft replacement of Aorta ,0.0
2008,May,5, Graft replacement of Aorta ,0.0
2008,June,6, Graft replacement of Aorta ,0.0
2008,July,7, Graft replacement of Aorta ,0.0
2008,August,8, Graft replacement of Aorta ,0.0
2008,September,9, Graft replacement of Aorta ,0.0
2008,October,10, Graft replacement of Aorta ,0.0
2008,November,11, Graft replacement of Aorta ,0.0
2008,December,12, Graft replacement of Aorta ,0.0
2009,January,1, Graft replacement of Aorta ,292.0
2009,February,2, Graft replacement of Aorta ,0.0
2009,March,3, Graft replacement of Aorta ,0.0
2009,April,4, Graft replacement of Aorta ,0.0
2009,May,5, Graft replacement of Aorta ,0.0
2009,June,6, Graft replacement of Aorta ,0.0
2009,July,7, Graft replacement of Aorta ,0.0
2009,August,8, Graft replacement of Aorta ,0.0
2009,September,9, Graft replacement of Aorta ,0.0
2009,October,10, Graft replacement of Aorta ,0.0
2009,November,11, Graft replacement of Aorta ,0.0
2009,December,12, Graft replacement of Aorta ,0.0
2010,January,1, Graft replacement of Aorta ,369.0
2010,February,2, Graft replacement of Aorta ,0.0
2010,March,3, Graft replacement of Aorta ,0.0
2010,April,4, Graft replacement of Aorta ,0.0
2010,May,5, Graft replacement of Aorta ,0.0
2010,June,6, Graft replacement of Aorta ,0.0
2010,July,7, Graft replacement of Aorta ,0.0
2010,August,8, Graft replacement of Aorta ,0.0
2010,September,9, Graft replacement of Aorta ,0.0
2010,October,10, Graft replacement of Aorta ,0.0
2010,November,11, Graft replacement of Aorta ,0.0
2010,December,12, Graft replacement of Aorta ,0.0
2011,January,1, Graft replacement of Aorta ,316.0
2011,February,2, Graft replacement of Aorta ,0.0
2011,March,3, Graft replacement of Aorta ,0.0
2011,April,4, Graft replacement of Aorta ,0.0
2011,May,5, Graft replacement of Aorta ,0.0
2011,June,6, Graft replacement of Aorta ,0.0
2011,July,7, Graft replacement of Aorta ,0.0
2011,August,8, Graft replacement of Aorta ,0.0
2011,September,9, Graft replacement of Aorta ,0.0
2011,October,10, Graft replacement of Aorta ,0.0
2011,November,11, Graft replacement of Aorta ,0.0
2011,December,12, Graft replacement of Aorta ,0.0
2012,January,1, Graft replacement of Aorta ,326.0
2012,February,2, Graft replacement of Aorta ,0.0
2012,March,3, Graft replacement of Aorta ,0.0
2012,April,4, Graft replacement of Aorta ,0.0
2012,May,5, Graft replacement of Aorta ,0.0
2012,June,6, Graft replacement of Aorta ,0.0
2012,July,7, Graft replacement of Aorta ,0.0
2012,August,8, Graft replacement of Aorta ,0.0
2012,September,9, Graft replacement of Aorta ,0.0
2012,October,10, Graft replacement of Aorta ,0.0
2012,November,11, Graft replacement of Aorta ,0.0
2012,December,12, Graft replacement of Aorta ,0.0
2013,January,1, Graft replacement of Aorta ,308.0
2013,February,2, Graft replacement of Aorta ,0.0
2013,March,3, Graft replacement of Aorta ,0.0
2013,April,4, Graft replacement of Aorta ,0.0
2013,May,5, Graft replacement of Aorta ,0.0
2013,June,6, Graft replacement of Aorta ,0.0
2013,July,7, Graft replacement of Aorta ,0.0
2013,August,8, Graft replacement of Aorta ,0.0
2013,September,9, Graft replacement of Aorta ,0.0
2013,October,10, Graft replacement of Aorta ,0.0
2013,November,11, Graft replacement of Aorta ,0.0
2013,December,12, Graft replacement of Aorta ,0.0
2014,January,1, Graft replacement of Aorta ,287.0
2014,February,2, Graft replacement of Aorta ,0.0
2014,March,3, Graft replacement of Aorta ,0.0
2014,April,4, Graft replacement of Aorta ,0.0
2014,May,5, Graft replacement of Aorta ,0.0
2014,June,6, Graft replacement of Aorta ,0.0
2014,July,7, Graft replacement of Aorta ,0.0
2014,August,8, Graft replacement of Aorta ,0.0
2014,September,9, Graft replacement of Aorta ,0.0
2014,October,10, Graft replacement of Aorta ,0.0
2014,November,11, Graft replacement of Aorta ,0.0
2014,December,12, Graft replacement of Aorta ,0.0
2015,January,1, Graft replacement of Aorta ,378.0
2015,February,2, Graft replacement of Aorta ,0.0
2015,March,3, Graft replacement of Aorta ,0.0
2015,April,4, Graft replacement of Aorta ,0.0
2015,May,5, Graft replacement of Aorta ,0.0
2015,June,6, Graft replacement of Aorta ,0.0
2015,July,7, Graft replacement of Aorta ,0.0
2015,August,8, Graft replacement of Aorta ,0.0
2015,September,9, Graft replacement of Aorta ,0.0
2015,October,10, Graft replacement of Aorta ,0.0
2015,November,11, Graft replacement of Aorta ,0.0
2015,December,12, Graft replacement of Aorta ,0.0
2016,January,1, Graft replacement of Aorta ,356.0
2016,February,2, Graft replacement of Aorta ,0.0
2016,March,3, Graft replacement of Aorta ,0.0
2016,April,4, Graft replacement of Aorta ,0.0
2016,May,5, Graft replacement of Aorta ,0.0
2016,June,6, Graft replacement of Aorta ,0.0
2016,July,7, Graft replacement of Aorta ,0.0
2016,August,8, Graft replacement of Aorta ,0.0
2016,September,9, Graft replacement of Aorta ,0.0
2016,October,10, Graft replacement of Aorta ,0.0
2016,November,11, Graft replacement of Aorta ,0.0
2016,December,12, Graft replacement of Aorta ,0.0
2017,January,1, Graft replacement of Aorta ,350.0
2017,February,2, Graft replacement of Aorta ,0.0
2017,March,3, Graft replacement of Aorta ,0.0
2017,April,4, Graft replacement of Aorta ,0.0
2017,May,5, Graft replacement of Aorta ,0.0
2017,June,6, Graft replacement of Aorta ,0.0
2017,July,7, Graft replacement of Aorta ,0.0
2017,August,8, Graft replacement of Aorta ,0.0
2017,September,9, Graft replacement of Aorta ,0.0
2017,October,10, Graft replacement of Aorta ,0.0
2017,November,11, Graft replacement of Aorta ,0.0
2017,December,12, Graft replacement of Aorta ,0.0
2018,January,1, Graft replacement of Aorta ,439.0
2018,February,2, Graft replacement of Aorta ,0.0
2018,March,3, Graft replacement of Aorta ,0.0
2018,April,4, Graft replacement of Aorta ,0.0
2018,May,5, Graft replacement of Aorta ,0.0
2018,June,6, Graft replacement of Aorta ,0.0
2018,July,7, Graft replacement of Aorta ,0.0
2018,August,8, Graft replacement of Aorta ,0.0
2018,September,9, Graft replacement of Aorta ,0.0
2018,October,10, Graft replacement of Aorta ,0.0
2018,November,11, Graft replacement of Aorta ,0.0
2018,December,12, Graft replacement of Aorta ,0.0
2019,January,1, Graft replacement of Aorta ,433.0
2019,February,2, Graft replacement of Aorta ,0.0
2019,March,3, Graft replacement of Aorta ,0.0
2019,April,4, Graft replacement of Aorta ,0.0
2019,May,5, Graft replacement of Aorta ,0.0
2019,June,6, Graft replacement of Aorta ,0.0
2019,July,7, Graft replacement of Aorta ,0.0
2019,August,8, Graft replacement of Aorta ,0.0
2019,September,9, Graft replacement of Aorta ,0.0
2019,October,10, Graft replacement of Aorta ,0.0
2019,November,11, Graft replacement of Aorta ,0.0
2019,December,12, Graft replacement of Aorta ,0.0
2020,January,1, Graft replacement of Aorta ,414.0
2020,February,2, Graft replacement of Aorta ,0.0
2020,March,3, Graft replacement of Aorta ,0.0
2020,April,4, Graft replacement of Aorta ,0.0
2020,May,5, Graft replacement of Aorta ,0.0
2020,June,6, Graft replacement of Aorta ,0.0
2020,July,7, Graft replacement of Aorta ,0.0
2020,August,8, Graft replacement of Aorta ,0.0
2020,September,9, Graft replacement of Aorta ,0.0
